"game_id","season","week","season_type","start_date","start_time_tbd","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_conference","home_points","home_post_win_prob","away_id","away_team","away_conference","away_points","away_post_win_prob","excitement_index"
222502572,2002,3,"regular","2002-09-07T12:00:00.000Z",NA,FALSE,TRUE,22183,3815,"M. M. Roberts Stadium",2572,"Southern Mississippi","Conference USA",23,NA,356,"Illinois","Big Ten",20,NA,NA
222500130,2002,3,"regular","2002-09-07T12:10:00.000Z",NA,FALSE,FALSE,107856,3558,"Michigan Stadium",130,"Michigan","Big Ten",35,NA,2711,"Western Michigan","Mid-American",12,NA,NA
222500193,2002,3,"regular","2002-09-07T12:10:00.000Z",NA,FALSE,FALSE,25934,3996,"Yager Stadium",193,"Miami (OH)","Mid-American",24,NA,2294,"Iowa","Big Ten",29,NA,NA
222500275,2002,3,"regular","2002-09-07T12:10:00.000Z",NA,FALSE,FALSE,76320,347,"Camp Randall Stadium",275,"Wisconsin","Big Ten",34,NA,277,"West Virginia","Big East",17,NA,NA
222500194,2002,3,"regular","2002-09-07T12:10:00.000Z",NA,FALSE,FALSE,98689,3861,"Ohio Stadium",194,"Ohio State","Big Ten",51,NA,2309,"Kent State","Mid-American",17,NA,NA
222500145,2002,3,"regular","2002-09-07T12:30:00.000Z",NA,FALSE,FALSE,54718,3974,"Vaught-Hemingway Stadium",145,"Ole Miss","SEC",38,NA,235,"Memphis","Conference USA",16,NA,NA
222500228,2002,3,"regular","2002-09-07T13:00:00.000Z",NA,FALSE,FALSE,71000,3836,"Memorial Stadium",228,"Clemson","ACC",33,NA,2348,"Louisiana Tech","Western Athletic",13,NA,NA
222500087,2002,3,"regular","2002-09-07T13:00:00.000Z",NA,FALSE,FALSE,80795,3855,"Notre Dame Stadium",87,"Notre Dame","FBS Independents",24,NA,2509,"Purdue","Big Ten",17,NA,NA
222500077,2002,3,"regular","2002-09-07T13:00:00.000Z",NA,FALSE,TRUE,21422,3911,"Ryan Field",77,"Northwestern","Big Ten",24,NA,2628,"TCU","Conference USA",48,NA,NA
222500349,2002,3,"regular","2002-09-07T13:00:00.000Z",NA,FALSE,FALSE,28063,3841,"Blaik Field at Michie Stadium",349,"Army","Conference USA",21,NA,107,"Holy Cross",NA,30,NA,NA
222502117,2002,3,"regular","2002-09-07T13:00:00.000Z",NA,FALSE,FALSE,18251,3786,"Kelly/Shorts Stadium",2117,"Central Michigan","Mid-American",32,NA,2751,"Wyoming","Mountain West",20,NA,NA
222500127,2002,3,"regular","2002-09-07T13:05:00.000Z",NA,FALSE,FALSE,74014,3936,"Spartan Stadium",127,"Michigan State","Big Ten",27,NA,242,"Rice","Western Athletic",10,NA,NA
222500096,2002,3,"regular","2002-09-07T13:30:00.000Z",NA,FALSE,FALSE,59213,3683,"Commonwealth Stadium",96,"Kentucky","SEC",77,NA,2638,"UTEP","Western Athletic",17,NA,NA
222502005,2002,3,"regular","2002-09-07T15:00:00.000Z",NA,FALSE,TRUE,36620,3713,"Falcon Stadium",2005,"Air Force","Mountain West",38,NA,167,"New Mexico","Mountain West",31,NA,NA
222500103,2002,3,"regular","2002-09-07T15:30:00.000Z",NA,FALSE,FALSE,41065,3615,"Alumni Stadium",103,"Boston College","Big East",34,NA,24,"Stanford","Pac-10",27,NA,NA
222500264,2002,3,"regular","2002-09-07T15:30:00.000Z",NA,FALSE,FALSE,70147,3765,"Husky Stadium",264,"Washington","Pac-10",34,NA,23,"San José State","Western Athletic",10,NA,NA
222502483,2002,3,"regular","2002-09-07T15:30:00.000Z",NA,FALSE,FALSE,56357,3626,"Autzen Stadium",2483,"Oregon","Pac-10",28,NA,278,"Fresno State","Western Athletic",24,NA,NA
